Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Reszponzív design beállítása,MK-17,10128,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Weboldal reszponzív beállítása különböző eszközökre, pl. mobil, tablet és asztali nézet",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000ph:,,,,,,,,,,,,,,To Do,
Stílus és UI finomítás,MK-16,10120,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Globális stílusok beállítása, színek, betűtípusok, és gombok megjelenésének végső finomítása",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000np:,,,,,,,,,,,,,,To Do,
Kapcsolat form integrációs teszt,MK-15,10140,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Testing,,Integrációs teszt készítése a kapcsolat űrlap backend adatfeldolgozására,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000s5:,,,,,,,,,,,,,,To Do,
Egységtesztelés,MK-14,10139,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Testing,,Frontend és backend egységtesztek létrehozása a fontosabb funkciókhoz (pl. űrlap validáció),,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000rx:,,,,,,,,,,,,,,To Do,
Projektek adatainak betöltése API-val,MK-13,10138,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Backend,Frontend,A projektek listájának dinamikus betöltése a backend API használatával,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000rp:,,,,,,,,,,,,,,To Do,
Backend API létrehozása,MK-12,10127,Story,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Backend,,"Backend API endpointok létrehozása az adatok (projektek, űrlap) kezelésére",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000p9:,,,,,,,,,,,,,,To Do,
Kapcsolat form visszajelzés,MK-11,10148,Task,Review,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,Visszajelző üzenet megjelenítése sikeres beküldés esetén vagy hiba esetén (pl. hálózati hiba),,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000tx:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Kapcsolat form backend integráció,MK-10,10126,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Backend,,Backend funkció létrehozása az űrlap adatainak fogadására és tárolására,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000p1:,,,,,,,,,,,,,,To Do,
Kapcsolat form validáció,MK-9,10125,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Kapcsolati űrlap mezőinek validálása (például kötelező mezők ellenőrzése, email formátum)",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000ot:,,,,,,,,,,,,,,To Do,
Kapcsolat oldal form,MK-8,10119,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Kapcsolat oldali űrlap kialakítása név, email és üzenet mezőkkel",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000nh:,,,,,,,,,,,,,,To Do,
